name,type,distance,moving_time,total_elevation_gain,start_date
Afternoon Run,Run,1924.6,1042,9.4,2023-06-03T21:32:50Z
Post-movie contemplate bike party ,Run,11272.8,4316,133.2,2023-06-02T22:11:09Z
Lunch Run to movie ,Run,2186.0,720,20.8,2023-06-02T19:22:46Z
Morning Walk,Walk,1968.0,1390,2.2,2023-06-01T17:22:43Z
Night Ride,Ride,6270.8,1487,85.0,2023-06-01T04:36:24Z
Afternoon Tennis,Workout,0.0,512,0.0,2023-06-01T00:34:00Z
Afternoon Ride,Ride,6057.1,1482,66.8,2023-05-31T22:21:42Z
Night Ride,Ride,6483.4,1423,85.8,2023-05-31T05:10:15Z
Evening Tennis,Workout,0.0,8299,0.0,2023-05-31T02:40:16Z
Evening Ride,Ride,6285.3,1293,70.6,2023-05-31T01:46:47Z
Afternoon Walk,Walk,1891.6,1440,90.0,2023-05-30T23:44:48Z
Afternoon Elliptical,Elliptical,0.0,912,0.0,2023-05-29T22:37:39Z
Afternoon Weight Training,WeightTraining,0.0,844,0.0,2023-05-29T22:23:09Z
Afternoon Run,Run,1444.7,591,38.0,2023-05-29T21:09:43Z
Lunch Run,Run,1339.1,455,0.0,2023-05-29T18:53:11Z
Night Ride,Ride,3932.8,1196,86.0,2023-05-29T04:09:08Z
Afternoon Ride,Ride,4113.1,1027,46.4,2023-05-29T00:45:33Z
Afternoon Ride,Ride,6418.9,1418,84.2,2023-05-28T21:15:20Z
Afternoon Pickleball,Workout,0.0,2450,0.0,2023-05-28T20:20:30Z
Lunch Pickleball,Workout,0.0,1249,0.0,2023-05-28T19:56:14Z
Lunch Pickleball,Workout,0.0,1148,0.0,2023-05-28T19:15:13Z
Morning Pickleball,Workout,0.0,286,0.0,2023-05-28T15:56:28Z
Morning Ride,Ride,6214.4,1312,66.4,2023-05-28T15:25:22Z
Afternoon Ride,Ride,3981.4,1114,87.8,2023-05-27T23:14:05Z
Lunch Ride,Ride,2727.1,700,12.4,2023-05-27T19:26:13Z
Evening Tennis,Workout,0.0,8723,0.0,2023-05-27T01:35:04Z
Evening Run,Run,1861.9,575,0.0,2023-05-27T01:18:57Z
Lunch Walk,Walk,3671.4,2940,120.0,2023-05-26T19:42:56Z
Lunch Walk,Walk,3435.7,2660,15.2,2023-05-26T18:01:20Z
Night Ride,Ride,6468.5,1540,91.2,2023-05-25T04:13:17Z
Evening Tennis,Workout,0.0,866,0.0,2023-05-25T02:18:14Z
Afternoon Ride,Ride,6223.4,1567,65.8,2023-05-24T22:26:38Z
Evening Ride,Ride,6467.5,1659,91.6,2023-05-24T01:08:44Z
Afternoon Tennis,Workout,0.0,539,0.0,2023-05-24T00:44:18Z
Afternoon Ride,Ride,6132.8,1431,67.2,2023-05-23T20:45:00Z
Evening Tennis,Workout,0.0,5951,0.0,2023-05-23T03:24:18Z
Lunch Walk,Walk,1892.5,1447,23.0,2023-05-22T18:11:10Z
Evening Tennis,Workout,0.0,5027,0.0,2023-05-22T01:43:06Z
Afternoon Run,Run,2887.9,1202,84.4,2023-05-21T23:01:50Z
Bay to breakers (modified) ,Run,11425.5,4122,108.6,2023-05-21T16:00:30Z
Lunch Weight Training,WeightTraining,0.0,297,0.0,2023-05-20T18:01:25Z
Morning Elliptical,Elliptical,0.0,1801,0.0,2023-05-20T17:28:02Z
Morning Walk,Walk,1143.9,49,0.0,2023-05-20T15:59:20Z
Afternoon Walk,Walk,1509.7,579,40.6,2023-05-19T22:55:24Z
Evening Tennis,Workout,0.0,3866,0.0,2023-05-19T02:57:18Z
Evening Ride,Ride,5586.6,1539,111.4,2023-05-19T01:03:28Z
BIKE BUS X BIKE TO WHEREVER WORK DAY,Ride,7774.5,2254,33.0,2023-05-18T14:46:43Z
Morning Ride,Ride,6171.5,1478,98.2,2023-05-18T14:11:45Z
Evening Run,Run,1387.3,581,77.2,2023-05-18T03:28:42Z
Afternoon Ride,Ride,5923.3,1295,61.2,2023-05-17T00:52:45Z
Afternoon Ride,Ride,6078.2,1436,66.0,2023-05-16T20:43:12Z
Lunch Ride,Ride,2873.8,715,53.8,2023-05-16T18:19:43Z
Morning Tennis,Workout,0.0,3588,0.0,2023-05-16T17:10:36Z
Morning Ride,Ride,2599.3,749,47.4,2023-05-16T16:53:03Z
Afternoon Walk,Walk,1775.5,1441,94.0,2023-05-15T23:04:47Z
Afternoon Tennis,Workout,0.0,5059,0.0,2023-05-15T21:22:53Z
Night HIIT,Workout,0.0,2268,0.0,2023-05-15T05:13:17Z
Morning Walk,Walk,2208.6,1677,22.6,2023-05-14T17:43:54Z
