,name,type,distance,moving_time,total_elevation_gain,start_date_local
815,Kc is not pedestrian friendly + it’s COLD,Walk,4852.8,3207,53.1,2022-04-08T11:18:27Z
817,Post-twitch pre-hackathon errands,Walk,3266.4,2574,89.8,2022-04-06T14:15:30Z
820,Tina time ty Mux feat hill,Walk,4400.3,3869,118.1,2022-04-04T21:09:39Z
822,Late 2 tennis p2,Walk,2122.1,1455,0.0,2022-04-03T17:15:51Z
823,Post-dubs walk hi tiff,Walk,6156.3,4343,94.1,2022-04-03T14:10:45Z
825,"To GGP, skipping bagels ",Walk,5915.3,4227,93.7,2022-04-03T09:24:02Z
828,Best comedy show I’ve been to since Ronny chieng omg ty yelp +T,Walk,1540.9,1053,0.0,2022-03-29T18:51:06Z
829,Griffin recap ,Walk,501.9,402,13.3,2022-03-29T17:38:37Z
833,Dumpling home bros brothers brethren ,Walk,2662.6,1695,8.4,2022-03-27T18:08:16Z
836,Sam night walk catch-up post-gala ,Walk,8294.6,6420,132.4,2022-03-25T21:50:13Z
837,To dim sum + Walter! ,Walk,1427.5,915,0.0,2022-03-25T10:45:03Z
840,Morning Walk,Walk,1049.7,784,0.0,2022-03-21T10:46:30Z
842,Post-nadal-alcaraz ,Walk,1786.0,1103,17.2,2022-03-19T18:51:35Z
846,Walk back bc that match was embarrassing omg,Walk,6018.8,4500,103.6,2022-03-13T18:37:28Z
848,"Yc, vc, web3, bobby in sf happy hr/dinner",Walk,3073.4,2187,10.3,2022-03-10T17:41:40Z
850,Happy hr to bobs donuts pipeline,Walk,2670.1,2087,47.8,2022-03-08T21:19:24Z
851,Walk to growsf happy hr,Walk,3230.1,2235,18.0,2022-03-08T18:00:06Z
854,Point Reyes part ,Walk,8058.9,7002,117.8,2022-03-05T14:49:48Z
857,Bar hopping on a mon-yay,Walk,1720.9,1480,85.1,2022-02-28T22:30:16Z
863,“I am never drinking again” -> brunch pipeline,Walk,6787.3,4053,91.8,2022-02-26T11:58:18Z
864,Rachel and I are aliveeee,Walk,2391.7,2471,60.8,2022-02-25T17:48:02Z
865,Tourists,Walk,2025.4,1687,0.0,2022-02-25T13:12:16Z
866,Diane my love post-degeneracy ,Walk,1860.7,1414,0.0,2022-02-25T11:33:18Z
867,B patisserie x shop b4 meeting Twitter friend ,Walk,2894.3,2078,43.6,2022-02-24T09:38:44Z
871,Errands to tennis but canceled bc rain ,Walk,5401.3,4047,152.2,2022-02-22T17:10:36Z
872,Post-game night,Walk,1823.6,1473,89.2,2022-02-22T00:12:15Z
873,Daehoooo,Walk,1687.2,1074,24.3,2022-02-21T17:19:43Z
874,Bilal says I made a new friend canvassing walk to ina coolbrith x Arsicaultx shop ,Walk,11118.1,8056,215.8,2022-02-21T12:52:19Z
876,Missed the cable car to tennis Omg,Walk,2077.3,1505,0.0,2022-02-20T09:41:34Z
877,Ferry to pinball,Walk,2887.7,2015,4.3,2022-02-19T10:58:45Z
878,To ferry,Walk,2472.8,1357,2.8,2022-02-19T10:05:43Z
879,Friyay ,Walk,5775.6,6461,0.0,2022-02-18T17:33:20Z
880,To pinball + kimee post-work tiktok debacle,Walk,5904.4,4225,88.0,2022-02-18T13:43:29Z
881,Last walk to bilal hq for a while ,Walk,11109.7,7718,114.7,2022-02-17T14:33:46Z
883,Election night,Walk,635.1,1904,0.0,2022-02-15T22:41:15Z
884,Election day,Walk,1076.4,856,0.0,2022-02-15T16:16:31Z
885,GOTV SF,Walk,2488.0,1745,5.8,2022-02-15T06:30:34Z
