,name,type,distance,moving_time,total_elevation_gain,start_date_local
679,Ride to lunch + grocery shop with Diane my love,Ride,2432.1,656,0.0,2022-09-29T11:37:48Z
680,Morning Ride,Ride,2705.5,579,0.0,2022-09-29T10:11:41Z
682,Afternoon Ride,Ride,2781.2,981,53.8,2022-09-28T16:57:40Z
683,Morning Ride,Ride,3772.1,1143,0.0,2022-09-28T10:04:45Z
687,Long way home ish ride into Sam ,Ride,8692.6,2174,65.7,2022-09-22T16:52:05Z
688,Pre-matt hq ,Ride,28398.6,6209,178.4,2022-09-22T08:16:39Z
690,Post-brunch ride ,Ride,5473.3,1299,45.8,2022-09-18T14:36:46Z
691,Bike 2 cole valley brunch ,Ride,5894.4,1619,80.9,2022-09-18T11:58:38Z
693,Ride for yes on j prop ad jfk,Ride,35836.6,9109,243.0,2022-09-16T07:47:13Z
695,Pre-refactr/great highway + devil's teeth,Ride,30216.9,6866,207.7,2022-09-12T07:26:40Z
699,Bike bus + telescope coffee! ,Ride,7457.9,2776,69.1,2022-09-09T07:50:54Z
700,Morning Ride,Ride,10528.2,2494,100.3,2022-09-09T06:47:34Z
701,ICG Ride,Ride,0.0,1657,0.0,2022-09-06T16:28:56Z
704,Night ride from post-meetup Kimberly Thai dinner,Ride,4328.8,1312,14.3,2022-08-31T22:21:08Z
705,Ride back to hotel for 1:1,Ride,3181.4,763,14.3,2022-08-30T15:00:55Z
707,Need to time red/green lights better ,Ride,13742.2,3630,95.2,2022-08-28T18:54:27Z
708,Hackcon Wellness center ride,Ride,6301.8,1715,78.9,2022-08-27T09:11:20Z
709,Upper Hudson River walk night ride ,Ride,16862.4,4306,55.6,2022-08-25T22:27:37Z
722,KCDC day 1,Ride,0.0,732,0.0,2022-08-08T17:45:25Z
733,Dumplings to cannolis to bike back pipeline,Ride,3356.7,1295,20.6,2022-07-26T23:13:14Z
777,Lost professional  credibility by sweating alongside conf attendees ride 😭,Ride,0.0,1451,0.0,2022-05-18T22:16:40Z
788,DevNet Summit Team Bonding ebike Ride,Ride,14081.9,3706,128.2,2022-05-04T14:57:57Z
816,Kansas City night 1 ride,Ride,0.0,1206,0.0,2022-04-07T21:42:26Z
819,45 min 2000s Ride with Kendall Toole,Ride,17783.2,2697,0.0,2022-04-05T19:11:38Z
827,canceled twitch stream for a meeting that could’ve been an email lfg,Ride,17339.7,3485,75.8,2022-03-31T16:09:59Z
870,Night Ride,Ride,0.0,1751,0.0,2022-02-22T21:19:57Z
933,Night Ride,Ride,0.0,3255,0.0,2022-01-11T22:31:54Z
934,Night Ride,Ride,0.0,3239,0.0,2022-01-10T21:51:42Z
947,Afternoon Ride,Ride,0.0,897,0.0,2021-12-30T17:43:26Z
952,Beat the darkness 1.75x1 sawyer,Ride,40148.3,8147,220.5,2021-12-20T15:08:21Z
956,Afternoon Ride,Ride,0.0,1253,0.0,2021-12-12T17:20:06Z
988,Sawyer 2x3 pre-warriors/World Series ,Ride,53233.8,10716,357.8,2021-10-26T14:33:02Z
998,Pre-Indian Wells Sawyer ride,Ride,24783.9,4731,166.9,2021-10-06T16:50:22Z
